11132,25164,44555,66145,23232
23546,23241,25546,64313,43543
11462,14422,26426,34324,26161
13324,66546,61425,25663,14613
41465,43212,11235,62662,32433
16352,61665,45154,12261,53211
36662,31163,24616,41616,16322
12115,64554,62366,33242,45336
55566,44545,34352,24216,32331
21326,52442,23641,42314,64442
56151,65445,13513,13355,51444
21631,51546,63554,51622,53441
51414,36136,34646,56323,42232
44636,44643,23636,66534,25665
54126,25653,44662,11333,52665
45546,41135,22123,51546,66216
44554,34325,12364,25641,41636
15316,54162,41463,15423,34234
24646,51622,25346,64524,12241
25616,55134,45354,63623,52443
12155,46235,56432,65314,46511
51224,54351,13425,26633,32521
42616,63423,64454,12332,55323
33643,62161,41156,43152,21122
21444,63546,64344,23612,34545
35655,44363,53215,33132,12235
11331,22451,13434,63353,12113
43416,36262,42555,25146,32436
64255,23112,31212,21121,24233
23511,21323,54355,35442,23314
52634,44564,32614,42663,64535
44646,15625,31456,22614,35561
34564,56632,26515,55354,21254
32526,24263,26256,52153,22445
55641,65155,36643,45631,12426
26541,26542,52551,65653,61324
43645,54534,15154,42356,41461
43232,26254,13415,21162,25352
23154,22636,12243,23155,52115
51435,12343,41553,34363,55645
41422,16542,43115,51122,34524
55355,16145,15646,35156,52556
31461,55326,34663,45312,55535
33112,23553,64412,26322,41235
13622,46126,22455,65252,52153
63245,14226,35552,26534,33432
31361,64634,52643,56343,66131
63113,66254,52126,25241,36534
45525,54616,42561,13244,16424
33463,35132,63215,55142,21324
52562,44656,12324,13365,24246
66515,65515,24241,43111,35324
11241,35332,35421,56461,14131
35265,21652,61621,42621,21325
14644,13442,31542,55161,32533
52456,36663,56361,24263,42115
64146,36261,65134,34621,63362
45325,54114,16441,12561,46136
62535,54153,66631,44164,16652
44345,56451,51234,23536,44143
13355,33116,42236,61352,31552
54455,46625,63554,36643,52635
55261,16162,53244,22344,52261
12633,31551,12434,66636,22115
36355,53126,11453,11453,35466
32125,42212,32523,36252,45141
42263,61151,34466,45131,33643
65615,63356,41232,25631,24245
24542,11544,31216,12536,51415
43534,34116,11356,55536,54514
